epoch,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1731463200,20.149999618530273,84.0,20.42157745361328,0.0,0.0,0.0,0.0,3.0,100.0,1009.5999755859375,916.5323486328125,16.17998695373535,147.72438049316406,35.63999938964844
1731468600,18.799999237060547,85.0,18.576364517211914,0.0,0.0,0.0,0.0,3.0,100.0,1008.9000244140625,915.4910278320312,16.299694061279297,149.47036743164062,37.439998626708984
1731472200,18.100000381469727,86.0,18.125722885131836,0.0,0.0,0.0,0.0,3.0,100.0,1009.2999877929688,915.64208984375,13.202726364135742,154.13369750976562,33.119998931884766
1731475800,17.850000381469727,87.0,17.755794525146484,0.0,0.0,0.0,0.0,3.0,100.0,1009.2999877929688,915.5664672851562,13.84947681427002,152.1028289794922,28.440000534057617
1731479400,17.899999618530273,86.0,18.040443420410156,0.0,0.0,0.0,0.0,3.0,100.0,1009.7000122070312,915.944580078125,11.885453224182129,144.86572265625,29.8799991607666
1731483000,18.0,85.0,18.540828704833984,0.0,0.0,0.0,0.0,3.0,100.0,1010.0999755859375,916.3377075195312,8.91318130493164,133.36346435546875,29.51999855041504
1731486600,17.950000762939453,87.0,18.724178314208984,1.0,0.0,0.0,0.0,3.0,97.0,1010.7000122070312,916.8668823242188,8.161764144897461,131.42356872558594,23.399999618530273
1731490200,18.0,88.0,18.78474235534668,1.0,0.10000000149011612,0.0,0.10000000149011612,80.0,96.0,1011.5999755859375,917.698486328125,8.714676856994629,128.2902069091797,18.719999313354492
1731493800,18.5,85.0,18.61198616027832,1.0,0.0,0.0,0.0,3.0,100.0,1012.4000244140625,918.576171875,13.183079719543457,145.00790405273438,26.280000686645508
1731497400,19.049999237060547,85.0,19.655439376831055,1.0,0.10000000149011612,0.0,0.10000000149011612,80.0,100.0,1012.7999877929688,919.1058349609375,11.304228782653809,127.23491668701172,29.15999984741211
1731501000,20.0,83.0,21.37282943725586,1.0,0.20000000298023224,0.10000000149011612,0.20000000298023224,80.0,100.0,1012.9000244140625,919.4830322265625,7.636752605438232,98.13002014160156,29.51999855041504
1731504600,22.049999237060547,78.0,25.07216453552246,1.0,0.30000001192092896,0.0,0.30000001192092896,80.0,100.0,1012.5999755859375,919.8229370117188,4.213691711425781,109.98319244384766,20.880001068115234
1731508200,23.850000381469727,72.0,27.04917335510254,1.0,0.10000000149011612,0.0,0.10000000149011612,80.0,98.0,1012.0,919.80859375,4.33497428894043,175.2364501953125,22.68000030517578
1731511800,24.350000381469727,69.0,26.75054168701172,1.0,0.10000000149011612,0.0,0.10000000149011612,80.0,88.0,1011.0999755859375,919.1368408203125,6.696386814117432,216.25392150878906,25.19999885559082
1731515400,22.950000762939453,71.0,25.14838409423828,1.0,0.20000000298023224,0.0,0.0,80.0,100.0,1011.0,918.6353149414062,4.379589080810547,260.5377502441406,9.0
1731519000,23.350000381469727,69.0,25.0535945892334,1.0,0.0,0.0,0.0,3.0,100.0,1010.5,918.2987670898438,6.287129878997803,246.37060546875,11.879999160766602
1731522600,23.450000762939453,69.0,24.886341094970703,1.0,0.0,0.0,0.0,3.0,85.0,1010.2000122070312,918.0554809570312,8.404285430908203,226.7356719970703,20.880001068115234
1731526200,22.799999237060547,72.0,23.905696868896484,1.0,0.0,0.0,0.0,3.0,83.0,1010.2000122070312,917.864501953125,10.829957962036133,201.4477996826172,20.51999855041504
1731529800,21.600000381469727,77.0,22.54465675354004,1.0,0.0,0.0,0.0,3.0,88.0,1010.9000244140625,918.1455078125,11.65977668762207,171.11941528320312,25.19999885559082
1731533400,20.649999618530273,80.0,21.3300724029541,1.0,0.0,0.0,0.0,3.0,83.0,1011.4000244140625,918.3162231445312,12.53813362121582,140.82635498046875,25.19999885559082
1731537000,19.25,84.0,19.571840286254883,0.0,0.0,0.0,0.0,3.0,82.0,1012.5,918.89404296875,13.276144027709961,130.60121154785156,27.719999313354492
1731540600,18.700000762939453,85.0,19.142608642578125,0.0,0.0,0.0,0.0,2.0,46.0,1013.0999755859375,919.27197265625,11.457958221435547,133.72705078125,27.35999870300293
1731544200,18.350000381469727,85.0,18.764869689941406,0.0,0.0,0.0,0.0,2.0,46.0,1013.7000122070312,919.710205078125,10.703569412231445,132.27362060546875,24.479999542236328
1731547800,17.850000381469727,87.0,18.066232681274414,0.0,0.0,0.0,0.0,1.0,41.0,1013.9000244140625,919.7392578125,11.72075080871582,132.51040649414062,23.399999618530273
1731551400,17.350000381469727,87.0,17.374788284301758,0.0,0.0,0.0,0.0,1.0,36.0,1013.7000122070312,919.4049072265625,11.72075080871582,132.51040649414062,25.919998168945312
1731555000,16.850000381469727,88.0,16.941980361938477,0.0,0.0,0.0,0.0,1.0,36.0,1013.2000122070312,918.7980346679688,10.4399995803833,133.60289001464844,25.559999465942383
1731558600,16.149999618530273,88.0,15.983283996582031,0.0,0.0,0.0,0.0,2.0,39.0,1013.0999755859375,918.4921875,10.464797019958496,130.8149871826172,28.799999237060547
1731562200,15.949999809265137,88.0,15.893671035766602,0.0,0.0,0.0,0.0,2.0,47.0,1012.9000244140625,918.2490844726562,9.220499038696289,128.6598358154297,25.19999885559082
1731565800,15.949999809265137,88.0,15.973958969116211,0.0,0.0,0.0,0.0,2.0,53.0,1012.7999877929688,918.1583862304688,8.66994857788086,131.63345336914062,22.319997787475586
1731569400,15.899999618530273,88.0,15.870845794677734,0.0,0.0,0.0,0.0,2.0,71.0,1013.2000122070312,918.5057373046875,8.91318130493164,136.63653564453125,20.51999855041504
1731573000,15.850000381469727,88.0,15.803251266479492,1.0,0.0,0.0,0.0,3.0,85.0,1013.9000244140625,919.1248168945312,8.91318130493164,136.63653564453125,20.880001068115234
1731576600,16.25,86.0,16.14287757873535,1.0,0.0,0.0,0.0,3.0,81.0,1014.7000122070312,919.9736328125,9.422101020812988,136.54811096191406,21.239999771118164
1731580200,17.649999618530273,83.0,17.695417404174805,1.0,0.0,0.0,0.0,2.0,77.0,1014.9000244140625,920.5852661132812,10.4399995803833,136.39710998535156,21.239999771118164
1731583800,18.899999618530273,79.0,18.819223403930664,1.0,0.0,0.0,0.0,2.0,77.0,1015.2999877929688,921.3290405273438,12.475960731506348,136.16905212402344,24.119998931884766
1731587400,20.25,76.0,20.370710372924805,1.0,0.0,0.0,0.0,3.0,90.0,1015.4000244140625,921.8277587890625,12.98497486114502,133.8767852783203,27.0
1731591000,21.350000381469727,73.0,21.739055633544922,1.0,0.0,0.0,0.0,3.0,87.0,1015.2999877929688,922.0669555664062,12.599998474121094,126.86998748779297,27.0
1731594600,22.450000762939453,70.0,23.64084243774414,1.0,0.0,0.0,0.0,3.0,83.0,1014.7999877929688,921.9402465820312,12.55879020690918,117.29949188232422,27.0
1731598200,23.899999618530273,65.0,25.357011795043945,1.0,0.0,0.0,0.0,2.0,72.0,1013.7999877929688,921.4593505859375,12.904882431030273,112.9887466430664,27.719999313354492
1731601800,25.350000381469727,59.0,27.316511154174805,1.0,0.0,0.0,0.0,2.0,78.0,1012.4000244140625,920.6099853515625,7.771330833435059,103.39251708984375,23.03999900817871
1731605400,25.350000381469727,59.0,27.155792236328125,1.0,0.0,0.0,0.0,3.0,87.0,1011.5999755859375,919.8824462890625,6.130578994750977,86.63361358642578,20.880001068115234
1731609000,24.950000762939453,62.0,26.320165634155273,1.0,0.0,0.0,0.0,2.0,73.0,1011.2999877929688,919.4935302734375,8.049844741821289,100.3047866821289,15.480000495910645
1731612600,24.399999618530273,64.0,25.477325439453125,1.0,0.0,0.0,0.0,2.0,61.0,1011.0999755859375,919.151611328125,10.00903606414795,127.69430541992188,19.440000534057617
1731616200,23.700000762939453,65.0,24.38482666015625,1.0,0.0,0.0,0.0,2.0,60.0,1011.2000122070312,919.03759765625,11.486200332641602,147.80429077148438,22.68000030517578
1731619800,22.700000762939453,69.0,23.576662063598633,1.0,0.0,0.0,0.0,2.0,77.0,1011.5999755859375,919.10693359375,10.144082069396973,152.52565002441406,23.759998321533203
1731623400,21.700000762939453,69.0,21.306915283203125,0.0,0.0,0.0,0.0,2.0,75.0,1012.0999755859375,919.264892578125,16.17998695373535,147.72438049316406,28.079999923706055
1731627000,20.549999237060547,74.0,19.578472137451172,0.0,0.0,0.0,0.0,2.0,50.0,1013.0,919.739013671875,20.124610900878906,137.1747589111328,37.79999923706055
1731630600,19.350000381469727,79.0,18.35932159423828,0.0,0.0,0.0,0.0,2.0,48.0,1014.0,920.28564453125,19.881649017333984,132.0642547607422,43.560001373291016
1731634200,18.399999618530273,83.0,17.648696899414062,0.0,0.0,0.0,0.0,2.0,58.0,1014.4000244140625,920.3605346679688,17.82636260986328,133.36346435546875,43.19999694824219
1731637800,17.799999237060547,85.0,17.18756675720215,0.0,0.0,0.0,0.0,2.0,71.0,1014.2000122070312,919.9961547851562,16.299694061279297,133.21011352539062,38.15999984741211
1731641400,17.450000762939453,87.0,17.319580078125,0.0,0.0,0.0,0.0,2.0,64.0,1014.0999755859375,919.7982177734375,13.044721603393555,129.400634765625,34.91999816894531
