epoch,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1733530500,24.399999618530277,76.0,28.06104278564453,0.0,0.0,0.0,0.0,3.0,100.0,1011.7000122070312,919.6970825195312,1.0182337760925293,135.00010681152344,5.039999961853027
1733534100,23.850000381469727,77.0,27.133527755737305,0.0,0.0,0.0,0.0,2.0,78.0,1012.5999755859376,920.3538818359376,2.5199999809265137,90.0,4.679999828338623
1733537700,23.25,80.0,26.535694122314453,0.0,0.0,0.0,0.0,3.0,94.0,1012.4000244140624,919.9961547851562,2.620839357376098,74.05453491210938,4.679999828338623
1733541300,22.600000381469727,83.0,25.7998161315918,0.0,0.0,0.0,0.0,3.0,94.0,1012.2999877929688,919.7132568359376,3.075841426849365,69.4438705444336,5.399999618530273
1733544900,23.299999237060547,82.0,26.819110870361328,0.0,0.0,0.0,0.0,3.0,82.0,1011.5999755859376,919.2837524414062,2.545584201812744,44.99989700317383,4.320000171661377
1733548500,22.700000762939453,84.0,26.113513946533203,0.0,0.0,0.0,0.0,3.0,82.0,1011.2000122070312,918.7435302734376,2.595996856689453,56.30991363525391,6.119999885559082
1733552100,22.200000762939453,85.0,25.396175384521484,0.0,0.0,0.0,0.0,3.0,100.0,1011.0,918.4140625,3.075841426849365,69.4438705444336,5.759999752044678
1733555700,21.649999618530277,88.0,24.787065505981445,0.0,0.0,0.0,0.0,3.0,94.0,1011.4000244140624,918.6142578125,3.545588731765747,66.03750610351562,6.839999675750732
1733559300,21.200000762939453,89.0,24.25745010375977,0.0,0.0,0.0,0.0,3.0,93.0,1011.7999877929688,918.843505859375,3.219938039779663,63.43501281738281,6.839999675750732
1733562900,21.75,88.0,24.89441680908203,1.0,0.0,0.0,0.0,3.0,100.0,1012.5,919.6432495117188,3.826852560043335,48.81417465209961,7.920000076293945
1733566500,24.25,86.0,28.451602935791016,1.0,0.0,0.0,0.0,3.0,100.0,1012.9000244140624,920.7438354492188,4.0249223709106445,26.564985275268555,10.079999923706056
1733570100,26.450000762939453,75.0,30.02645492553711,1.0,0.0,0.0,0.0,3.0,100.0,1013.5999755859376,922.0201416015624,7.920000076293945,4.874164005741477e-06,15.119998931884766
1733573700,27.649999618530277,69.0,31.626049041748047,1.0,0.0,0.0,0.0,2.0,69.0,1013.5,922.2742309570312,12.924952507019045,347.125,25.919998168945312
1733577300,29.049999237060547,54.0,31.941261291503903,1.0,0.0,0.0,0.0,1.0,26.0,1013.0999755859376,922.3095092773438,16.311613082885742,337.9637145996094,33.839996337890625
1733580900,29.899999618530277,47.0,32.17490768432617,1.0,0.0,0.0,0.0,3.0,100.0,1012.4000244140624,921.9131469726562,17.87355613708496,332.4028015136719,37.79999923706055
1733584500,30.5,42.0,32.435970306396484,1.0,0.0,0.0,0.0,2.0,44.0,1011.5,921.262451171875,17.595861434936523,329.2373352050781,38.519996643066406
1733588100,32.04999923706055,34.0,33.239315032958984,1.0,0.0,0.0,0.0,1.0,37.0,1010.5,920.78466796875,18.08977508544922,328.8407592773437,40.68000030517578
1733591700,32.150001525878906,33.0,32.79710006713867,1.0,0.0,0.0,0.0,3.0,83.0,1009.4000244140624,919.8102416992188,17.0762996673584,325.3047790527344,39.23999786376953
1733595300,31.950000762939453,33.0,31.82331085205078,1.0,0.0,0.0,0.0,3.0,100.0,1009.0999755859376,919.4810791015624,15.62997055053711,321.5462646484375,37.43999862670898
1733598900,31.25,34.0,30.4023551940918,1.0,0.0,0.0,0.0,3.0,100.0,1009.0,919.1950073242188,13.513193130493164,318.2397766113281,34.20000076293945
1733602500,29.950000762939453,38.0,29.931400299072266,1.0,0.0,0.0,0.0,3.0,100.0,1009.4000244140624,919.1953125,9.220499038696287,321.3401794433594,29.8799991607666
1733606100,28.100000381469727,46.0,29.27568817138672,1.0,0.0,0.0,0.0,3.0,100.0,1010.2999877929688,919.4906616210938,4.394360065460205,325.0079040527344,21.959999084472656
1733609700,26.75,52.0,28.466663360595703,0.0,0.0,0.0,0.0,3.0,100.0,1011.2000122070312,919.92333984375,2.545584201812744,351.8699951171875,10.440000534057615
1733613300,25.700000762939453,55.0,27.328035354614254,0.0,0.0,0.0,0.0,3.0,100.0,1012.0999755859376,920.438720703125,2.9024126529693604,29.74479484558105,7.199999809265137
1733616900,24.649999618530277,57.0,26.015819549560547,0.0,0.0,0.0,0.0,3.0,100.0,1012.5,920.4971313476562,3.563817977905273,44.99989700317383,6.839999675750732
1733620500,23.799999237060547,58.0,25.031967163085938,0.0,0.0,0.0,0.0,3.0,100.0,1013.2000122070312,920.8846435546876,3.096837043762207,54.46223831176758,7.199999809265137
1733624100,23.450000762939453,58.0,24.490333557128903,0.0,0.0,0.0,0.0,3.0,100.0,1012.7999877929688,920.4183349609376,3.563817977905273,44.99989700317383,7.920000076293945
1733627700,23.049999237060547,58.0,23.877656936645508,0.0,0.0,0.0,0.0,3.0,100.0,1012.2000122070312,919.75537109375,4.072935104370117,44.99989700317383,9.359999656677246
1733631300,22.100000381469727,60.0,22.890918731689453,0.0,0.0,0.0,0.0,3.0,100.0,1011.7000122070312,919.0204467773438,3.415259599685669,71.5649642944336,10.079999923706056
1733634900,21.700000762939453,62.0,22.587278366088867,0.0,0.0,0.0,0.0,3.0,100.0,1011.5999755859376,918.8107299804688,3.075841426849365,110.5561294555664,8.279999732971191
1733638500,21.649999618530277,62.0,22.443819046020508,0.0,0.0,0.0,0.0,3.0,100.0,1011.7000122070312,918.88671875,3.5999999046325684,126.86998748779295,6.119999885559082
1733642100,21.399999618530277,64.0,22.316049575805664,0.0,0.0,0.0,0.0,3.0,100.0,1011.5,918.630859375,3.396233081817627,122.0053482055664,6.479999542236328
1733645700,20.899999618530277,70.0,22.068307876586918,0.0,0.0,0.0,0.0,3.0,100.0,1012.0,918.9356689453124,4.0249223709106445,100.3047866821289,6.839999675750732
1733649300,20.950000762939453,75.0,22.52181625366211,1.0,0.0,0.0,0.0,3.0,100.0,1012.5999755859376,919.4955444335938,4.33497428894043,85.23644256591797,9.0
1733652900,22.049999237060547,80.0,24.59742927551269,1.0,0.0,0.0,0.0,3.0,100.0,1013.4000244140624,920.5496826171876,3.877318382263184,68.19853210449219,10.440000534057615
1733656500,25.350000381469727,64.0,27.66969108581543,1.0,0.0,0.0,0.0,3.0,100.0,1013.7000122070312,921.7921142578124,4.198285102844238,30.963695526123047,11.519999504089355
1733660100,26.5,62.0,28.971912384033203,1.0,0.0,0.0,0.0,3.0,100.0,1013.7999877929688,922.2164916992188,7.421589851379394,345.9637145996094,14.399999618530272
1733663700,27.700000762939453,58.0,30.455150604248047,1.0,0.0,0.0,0.0,3.0,100.0,1013.7999877929688,922.5616455078124,10.739831924438477,320.4403686523437,22.319997787475582
1733667300,28.399999618530277,55.0,30.76112365722656,1.0,0.0,0.0,0.0,3.0,100.0,1013.4000244140624,922.397705078125,12.682018280029297,304.59234619140625,25.919998168945312
1733670900,28.649999618530277,52.0,30.01999282836914,1.0,0.0,0.0,0.0,3.0,100.0,1012.5999755859376,921.7409057617188,14.986553192138672,294.10223388671875,30.96000099182129
1733674500,27.299999237060547,65.0,29.86614990234375,1.0,0.0,0.0,0.0,3.0,100.0,1013.0999755859376,921.8099365234376,13.556282043457031,280.71307373046875,34.91999816894531
1733678100,26.600000381469727,70.0,29.035903930664062,1.0,0.0,0.0,0.0,3.0,100.0,1012.7999877929688,921.335693359375,12.144330978393556,258.0238952636719,35.279998779296875
1733681700,26.200000762939453,71.0,28.86948013305664,1.0,0.0,0.0,0.0,3.0,100.0,1012.7000122070312,921.1292724609376,10.002559661865234,239.74365234375,33.839996337890625
1733685300,25.799999237060547,71.0,28.4285888671875,1.0,0.1000000014901161,0.0,0.1000000014901161,80.0,100.0,1012.2999877929688,920.6497192382812,8.942214012145996,229.89915466308597,31.319997787475582
1733688900,25.350000381469727,73.0,28.388660430908203,1.0,0.0,0.0,0.0,3.0,100.0,1012.2000122070312,920.4281005859376,6.193674087524414,215.5377655029297,19.07999992370605
1733692500,24.549999237060547,80.0,28.49256134033203,1.0,0.0,0.0,0.0,3.0,100.0,1012.2999877929688,920.2861328125,2.5199999809265137,180.0,13.679999351501465
1733696100,23.350000381469727,83.0,26.658159255981445,0.0,0.0,0.0,0.0,3.0,100.0,1012.7000122070312,920.2980346679688,4.843304634094238,131.9871368408203,9.720000267028809
1733699700,22.350000381469727,87.0,25.432693481445312,0.0,0.0,0.0,0.0,3.0,89.0,1013.2000122070312,920.4569702148438,5.634891033172607,116.5649871826172,13.679999351501465
1733703300,21.600000381469727,92.0,24.883869171142575,0.0,0.0,0.0,0.0,2.0,81.0,1013.7000122070312,920.6885375976562,4.829906940460205,116.5649871826172,13.679999351501465
1733706900,21.049999237060547,93.0,24.16767883300781,0.0,0.0,0.0,0.0,2.0,67.0,1014.2000122070312,920.9783325195312,4.693825721740723,122.47117614746094,11.879999160766602
1733710500,20.700000762939453,94.0,23.7579288482666,0.0,0.0,0.0,0.0,2.0,80.0,1013.9000244140624,920.60107421875,4.510787010192871,118.61036682128906,12.239999771118164
1733714100,20.350000381469727,95.0,23.33803939819336,0.0,0.0,0.0,0.0,3.0,98.0,1013.5,920.1329956054688,4.394360065460205,124.99209594726562,12.959999084472656
1733717700,19.75,98.0,22.69751739501953,0.0,0.0,0.0,0.0,45.0,100.0,1013.0999755859376,919.5894165039062,4.349896430969238,114.4439468383789,10.079999923706056
1733721300,19.549999237060547,98.0,22.5183219909668,0.0,0.0,0.0,0.0,45.0,100.0,1012.7000122070312,919.1659545898438,3.545588731765747,113.96249389648438,9.720000267028809
1733724900,19.600000381469727,98.0,22.62538719177246,0.0,0.0,0.0,0.0,45.0,100.0,1012.5999755859376,919.0903930664062,3.3190360069274902,102.52880096435548,7.559999465942383
1733728500,19.399999618530277,98.0,22.23381996154785,0.0,0.0,0.0,0.0,45.0,100.0,1012.5999755859376,919.0299682617188,3.976329803466797,95.19434356689452,8.640000343322754
1733732100,19.25,97.0,21.98750686645508,0.0,0.0,0.0,0.0,45.0,100.0,1013.0999755859376,919.4385986328124,3.617955207824707,95.71050262451172,8.640000343322754
1733735700,19.700000762939453,96.0,22.61429023742676,1.0,0.0,0.0,0.0,45.0,100.0,1013.7999877929688,920.2098388671876,3.3190360069274902,102.52880096435548,7.920000076293945
1733739300,22.049999237060547,92.0,25.78327751159668,1.0,0.0,0.0,0.0,3.0,100.0,1014.0,921.0946655273438,3.3190360069274902,102.52880096435548,7.199999809265137
1733742900,24.049999237060547,80.0,27.95940399169922,1.0,0.0,0.0,0.0,3.0,100.0,1014.2999877929688,921.9578857421876,1.0182337760925293,135.00010681152344,6.839999675750732
1733746500,25.649999618530277,72.0,29.469703674316406,1.0,0.0,0.0,0.0,3.0,100.0,1014.4000244140624,922.5160522460938,1.527350664138794,315.0000915527344,3.9600000381469727
1733750100,27.049999237060547,65.0,31.243675231933597,1.0,0.0,0.0,0.0,3.0,94.0,1014.0999755859376,922.6480712890624,6.877789497375488,312.87890625,12.239999771118164
