2024-10-02 20:21:19,799 - INFO - Connected to the database successfully.
2024-10-03 22:43:01,013 - INFO - Data inserted successfully: epoch=1727995199, distance_cm=709
2024-10-03 22:43:02,044 - INFO - Data inserted successfully: epoch=1727995219, distance_cm=709
2024-10-03 22:43:03,074 - INFO - Data inserted successfully: epoch=1727995239, distance_cm=710
2024-10-03 22:43:04,105 - INFO - Data inserted successfully: epoch=1727995259, distance_cm=710
2024-10-03 22:44:30,223 - INFO - Image inserted successfully: epoch=03-10-2024_19:44:27.jpg, image_path=images/2024/10/3
2024-10-03 22:45:16,259 - INFO - Data inserted successfully: epoch=1727995415, distance_cm=709
2024-10-03 22:45:17,289 - INFO - Data inserted successfully: epoch=1727995435, distance_cm=710
2024-10-03 22:45:18,320 - INFO - Data inserted successfully: epoch=1727995456, distance_cm=711
2024-10-03 22:45:19,350 - INFO - Data inserted successfully: epoch=1727995476, distance_cm=708
2024-10-03 22:45:20,381 - INFO - Data inserted successfully: epoch=1727995496, distance_cm=711
2024-10-03 22:51:15,520 - INFO - Data inserted successfully: epoch=1727995536, distance_cm=709
2024-10-03 22:51:16,546 - INFO - Data inserted successfully: epoch=1727995556, distance_cm=713
2024-10-03 22:51:17,576 - INFO - Data inserted successfully: epoch=1727995576, distance_cm=3144
2024-10-03 22:51:18,607 - INFO - Data inserted successfully: epoch=1727995597, distance_cm=3172
2024-10-03 22:51:19,637 - INFO - Data inserted successfully: epoch=1727995617, distance_cm=5155
2024-10-03 22:51:20,681 - INFO - Data inserted successfully: epoch=1727995637, distance_cm=3122
2024-10-03 22:51:21,706 - INFO - Data inserted successfully: epoch=1727995694, distance_cm=4484
2024-10-03 22:51:22,737 - INFO - Data inserted successfully: epoch=1727995714, distance_cm=3161
2024-10-03 22:51:23,768 - INFO - Data inserted successfully: epoch=1727995734, distance_cm=3737
2024-10-03 22:51:24,798 - INFO - Data inserted successfully: epoch=1727995754, distance_cm=3119
2024-10-03 22:51:25,835 - INFO - Data inserted successfully: epoch=1727995774, distance_cm=3746
2024-10-03 22:51:26,867 - INFO - Data inserted successfully: epoch=1727995794, distance_cm=3159
2024-10-03 22:51:27,898 - INFO - Data inserted successfully: epoch=1727995657, distance_cm=3122
