log_time,image_time,log_image_difference
2024-10-05 20:46:15.034,2024-10-05 20:46:12,3.034
2024-10-05 20:49:37.454,2024-10-05 20:49:33,4.454
2024-10-05 20:52:58.743,2024-10-05 20:52:55,3.743
2024-10-05 20:56:20.215,2024-10-05 20:56:17,3.215
2024-10-05 20:59:42.626,2024-10-05 20:59:39,3.626
2024-10-05 21:03:03.899,2024-10-05 21:03:01,2.899
2024-10-05 21:06:26.359,2024-10-05 21:06:23,3.359
2024-10-05 21:09:47.789,2024-10-05 21:09:44,3.789
2024-10-05 21:13:10.085,2024-10-05 21:13:06,4.085
2024-10-05 21:16:32.496,2024-10-05 21:16:28,4.496
2024-10-05 21:19:53.917,2024-10-05 21:19:50,3.917
2024-10-05 21:23:15.199,2024-10-05 21:23:12,3.199
2024-10-05 21:26:37.577,2024-10-05 21:26:33,4.577
2024-10-05 21:29:58.966,2024-10-05 21:29:55,3.966
2024-10-05 21:33:20.255,2024-10-05 21:33:17,3.255
2024-10-05 21:36:42.691,2024-10-05 21:36:39,3.691
2024-10-05 21:40:04.104,2024-10-05 21:40:01,3.104
2024-10-05 21:43:25.377,2024-10-05 21:43:22,3.377
2024-10-05 21:46:47.781,2024-10-05 21:46:44,3.781
2024-10-05 21:50:09.195,2024-10-05 21:50:06,3.195
2024-10-05 21:53:31.483,2024-10-05 21:53:28,3.483
2024-10-05 21:56:52.962,2024-10-05 21:56:50,2.962
2024-10-05 22:00:15.349,2024-10-05 22:00:11,4.349
2024-10-05 22:03:39.632,2024-10-05 22:03:33,6.632
2024-10-05 22:06:59.083,2024-10-05 22:06:55,4.083
2024-10-05 22:10:20.488,2024-10-05 22:10:17,3.488
2024-10-05 22:13:42.990,2024-10-05 22:13:39,3.99
2024-10-05 22:17:04.420,2024-10-05 22:17:00,4.42
2024-10-05 22:20:25.840,2024-10-05 22:20:22,3.84
2024-10-05 22:23:48.110,2024-10-05 22:23:44,4.11
2024-10-05 22:27:09.548,2024-10-05 22:27:06,3.548
2024-10-05 22:30:30.977,2024-10-05 22:30:28,2.977
2024-10-05 22:33:53.272,2024-10-05 22:33:49,4.272
2024-10-05 22:37:14.693,2024-10-05 22:37:11,3.693
2024-10-05 22:40:36.115,2024-10-05 22:40:33,3.115
2024-10-05 22:43:58.360,2024-10-05 22:43:55,3.36
2024-10-05 22:47:19.806,2024-10-05 22:47:17,2.806
2024-10-05 22:50:41.269,2024-10-05 22:50:38,3.269
2024-10-05 22:54:03.540,2024-10-05 22:54:00,3.54
2024-10-05 22:57:25.943,2024-10-05 22:57:22,3.943
2024-10-05 23:00:47.415,2024-10-05 23:00:44,3.415
2024-10-05 23:04:09.686,2024-10-05 23:04:06,3.686
2024-10-05 23:07:31.067,2024-10-05 23:07:27,4.067
2024-10-05 23:10:55.497,2024-10-05 23:10:49,6.497
2024-10-05 23:14:14.778,2024-10-05 23:14:11,3.778
2024-10-05 23:17:36.191,2024-10-05 23:17:33,3.191
2024-10-05 23:20:57.596,2024-10-05 23:20:54,3.596
2024-10-05 23:24:19.859,2024-10-05 23:24:16,3.859
2024-10-05 23:27:41.288,2024-10-05 23:27:38,3.288
2024-10-05 23:31:02.734,2024-10-05 23:31:00,2.734
2024-10-05 23:34:24.980,2024-10-05 23:34:22,2.98
2024-10-05 23:37:47.398,2024-10-05 23:37:43,4.398
2024-10-05 23:41:08.845,2024-10-05 23:41:05,3.845
2024-10-05 23:44:31.123,2024-10-05 23:44:27,4.123
2024-10-05 23:47:52.553,2024-10-05 23:47:49,3.553
2024-10-05 23:51:16.984,2024-10-05 23:51:11,5.984
2024-10-05 23:54:36.245,2024-10-05 23:54:32,4.245
2024-10-05 23:57:57.691,2024-10-05 23:57:54,3.691
2024-10-06 00:01:22.147,2024-10-06 00:01:16,6.147
2024-10-06 00:04:41.433,2024-10-06 00:04:38,3.433
2024-10-06 00:08:02.822,2024-10-06 00:08:00,2.822
2024-10-06 00:11:25.274,2024-10-06 00:11:21,4.274
2024-10-06 00:14:46.555,2024-10-06 00:14:43,3.555
2024-10-06 00:18:07.952,2024-10-06 00:18:05,2.952
2024-10-06 00:21:30.355,2024-10-06 00:21:27,3.355
2024-10-06 00:24:51.644,2024-10-06 00:24:49,2.644
2024-10-06 00:28:13.074,2024-10-06 00:28:10,3.074
2024-10-06 00:31:36.499,2024-10-06 00:31:32,4.499
2024-10-06 00:34:57.772,2024-10-06 00:34:54,3.772
2024-10-06 00:38:20.191,2024-10-06 00:38:16,4.191
2024-10-06 00:41:41.704,2024-10-06 00:41:38,3.704
2024-10-06 00:45:02.969,2024-10-06 00:44:59,3.969
2024-10-06 00:48:25.470,2024-10-06 00:48:21,4.47
2024-10-06 00:51:46.909,2024-10-06 00:51:43,3.909
2024-10-06 00:55:08.174,2024-10-06 00:55:05,3.174
2024-10-06 00:58:30.648,2024-10-06 00:58:27,3.648
2024-10-06 01:01:52.064,2024-10-06 01:01:48,4.064
2024-10-06 01:05:13.329,2024-10-06 01:05:10,3.329
2024-10-06 01:08:35.764,2024-10-06 01:08:32,3.764
2024-10-06 01:11:57.177,2024-10-06 01:11:54,3.177
2024-10-06 01:15:18.484,2024-10-06 01:15:16,2.484
2024-10-06 01:18:40.919,2024-10-06 01:18:37,3.919
2024-10-06 01:22:02.341,2024-10-06 01:21:59,3.341
2024-10-06 01:25:24.670,2024-10-06 01:25:21,3.67
2024-10-06 01:28:46.107,2024-10-06 01:28:43,3.107
2024-10-06 01:32:08.551,2024-10-06 01:32:05,3.551
2024-10-06 01:35:30.839,2024-10-06 01:35:26,4.839
2024-10-06 01:38:52.318,2024-10-06 01:38:48,4.318
2024-10-06 01:42:13.748,2024-10-06 01:42:10,3.748
2024-10-06 01:45:38.179,2024-10-06 01:45:32,6.179
